espece_botanique_code,espece_botanique_title,qualifiant_code,periode_semis_code,culture_EDI,id_parcelle_pv,debut_traitement,type_travail_code,type_travail_title,surface_evt,id_parcelle_vi,uc_name,amm_id,quantite_intrant,unite_intrant,dose
ZAR,Blé tendre,,ZFB,ZARZFB,0140,201802280000,SEM,Fertilisation,"1,7423",0140,Ammo 24N-16S,,"362,9791",KGM,"208,3332951"
ZAR,Blé tendre,,ZFB,ZARZFB,0140,201802280000,SEM,Fertilisation,"1,7423",0140,Ammo 27N-3Mg,,"722,7318",KGM,"414,8147851"
ZDH,Orge,ZMV,ZFB,ZDHZMVZFB,0141,201802280000,SEM,Fertilisation,"4,2295",0141,Ammo 24N-16S,,"1233,6043",KGM,"291,6666982"
ZAP,Betterave,ZAN,,ZAPZAN,0144,201802280000,SEX,Traitement phytosanitaire,"3,2396",0144,CENTIUM 36 CS,2000299,"0,162",LTR,"0,050"
ZAP,Betterave,ZAN,,ZAPZAN,0144,201802280000,SEX,Traitement phytosanitaire,"3,2396",0144,HELIOSOL (jusqu'au 06/08/2021),7200313,"0,9719",LTR,"0,300"
ZAP,Betterave,ZAN,,ZAPZAN,0144,201802280000,SEX,Traitement phytosanitaire,"3,2396",0144,MENHIR FL,9400479,"3,2396",LTR,"1,000"
ZAP,Betterave,ZAN,,ZAPZAN,0144,201802280000,SEX,Traitement phytosanitaire,"3,2396",0144,BETASANA OPTI,2160916,"4,2115",LTR,"1,300"
ZAR,Blé tendre,,ZFB,ZARZFB,0148,201802280000,SEM,Fertilisation,"2,02",0148,Ammo 24N-16S,,"420,8333",KGM,"208,3333168"
ZAR,Blé tendre,,ZFB,ZARZFB,0148,201802280000,SEM,Fertilisation,"2,02",0148,Ammo 27N-3Mg,,"463,8518",KGM,"229,629604"
ZAR,Blé tendre,,ZFB,ZARZFB,0150,201802280000,SEM,Fertilisation,"2,7813",0150,Ammo 24N-16S,,"579,4374",KGM,"208,3332974"
ZAR,Blé tendre,,ZFB,ZARZFB,0150,201802280000,SEM,Fertilisation,"2,7813",0150,Ammo 27N-3Mg,,"1153,7244",KGM,"414,8147988"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201802280000,SEX,Traitement phytosanitaire,"7,507",0120,CENTIUM 36 CS,2000299,"0,3754",LTR,"0,050"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201802280000,SEX,Traitement phytosanitaire,"7,507",0120,HELIOSOL (jusqu'au 06/08/2021),7200313,"2,2521",LTR,"0,300"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201802280000,SEX,Traitement phytosanitaire,"7,507",0120,MENHIR FL,9400479,"7,507",LTR,"1,000"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201802280000,SEX,Traitement phytosanitaire,"7,507",0120,BETASANA OPTI,2160916,"9,7591",LTR,"1,300"
ZAR,Blé tendre,,ZFB,ZARZFB,0122,201802280000,SEM,Fertilisation,"0,6935",0122,Ammo 24N-16S,,"144,4791",KGM,"208,3332372"
ZAR,Blé tendre,,ZFB,ZARZFB,0122,201802280000,SEM,Fertilisation,"0,6935",0122,Ammo 27N-3Mg,,"128,4259",KGM,"185,1851478"
ZAR,Blé tendre,,ZFB,ZARZFB,0123,201802280000,SEM,Fertilisation,"8,44",0123,Ammo 24N-16S,,"1758,3331",KGM,"208,3333057"
ZAR,Blé tendre,,ZFB,ZARZFB,0123,201802280000,SEM,Fertilisation,"8,44",0123,Ammo 27N-3Mg,,"1562,9631",KGM,"185,1852014"
ZAR,Blé tendre,,ZFB,ZARZFB,0125,201802280000,SEM,Fertilisation,"7,39",0125,Ammo 24N-16S,,"1539,5831",KGM,"208,3333018"
ZAR,Blé tendre,,ZFB,ZARZFB,0125,201802280000,SEM,Fertilisation,"7,39",0125,Ammo 27N-3Mg,,"1861,1855",KGM,"251,8518945"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201802280000,SEM,Fertilisation,"4,2282",0127,Ammo 24N-16S,,"880,8749",KGM,"208,3333097"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201802280000,SEM,Fertilisation,"4,2282",0127,Ammo 27N-3Mg,,"970,9199",KGM,"229,629606"
ZAR,Blé tendre,,ZFB,ZARZFB,0129,201802280000,SEM,Fertilisation,000000003,0129,Ammo 24N-16S,,"624,9999",KGM,"208,3333"
ZAR,Blé tendre,,ZFB,ZARZFB,0129,201802280000,SEM,Fertilisation,000000003,0129,Ammo 27N-3Mg,,"688,8888",KGM,"229,6296"
ZDH,Orge,ZMV,ZFB,ZDHZMVZFB,0131,201802280000,SEM,Fertilisation,"5,5",0131,Ammo 24N-16S,,"1604,1669",KGM,"291,6667091"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201802280000,SEX,Traitement phytosanitaire,"6,71",0132,CENTIUM 36 CS,2000299,"0,3355",LTR,"0,050"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201802280000,SEX,Traitement phytosanitaire,"6,71",0132,HELIOSOL (jusqu'au 06/08/2021),7200313,"2,013",LTR,"0,300"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201802280000,SEX,Traitement phytosanitaire,"6,71",0132,MENHIR FL,9400479,"6,71",LTR,"1,000"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201802280000,SEX,Traitement phytosanitaire,"6,71",0132,BETASANA OPTI,2160916,"8,723",LTR,"1,300"
ZAR,Blé tendre,,ZFB,ZARZFB,0134,201802280000,SEM,Fertilisation,"7,5",0134,Ammo 24N-16S,,"1562,4997",KGM,"208,3332933"
ZAR,Blé tendre,,ZFB,ZARZFB,0134,201802280000,SEM,Fertilisation,"7,5",0134,Ammo 27N-3Mg,,"2000,0003",KGM,"266,6667067"
